Symbol	Name	Sector	SEC Filings
GILD	Gilead Sciences	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
GPN	Global Payments Inc	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPN
GS	Goldman Sachs Group	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
GT	Goodyear Tire & Rubber	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT
GWW	Grainger (W.W.) Inc.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW
HAL	Halliburton Co.	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL
HBI	Hanesbrands Inc	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBI
HOG	Harley-Davidson	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOG
HRS	Harris Corporation	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRS
HIG	Hartford Financial Svc.Gp.	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG
HAS	Hasbro Inc.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS
HCA	HCA Holdings	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA
HCP	HCP Inc.	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCP
HP	Helmerich & Payne	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HP
HSIC	Henry Schein	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC
HES	Hess Corporation	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES
HPE	Hewlett Packard Enterprise	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE
HOLX	Hologic	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX
HD	Home Depot	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
HON	Honeywell Int'l Inc.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
HRL	Hormel Foods Corp.	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL
HST	Host Hotels & Resorts	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
HPQ	HP Inc.	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ
HUM	Humana Inc.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM
HBAN	Huntington Bancshares	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
IDXX	IDEXX Laboratories	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX
ITW	Illinois Tool Works	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW
ILMN	Illumina Inc	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ILMN
INCY	Incyte	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY
IR	Ingersoll-Rand PLC	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR
INTC	Intel Corp.	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC
ICE	Intercontinental Exchange	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
IBM	International Business Machines	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
IP	International Paper	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
IPG	Interpublic Group	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
